family,hue,cmax,lo,wlight,clight_min,wdark,cdark_min,lmin,lmax,source_node,notes
alpine-lake-blue,259,0.13,0.55,0.65,0.025,0.30,0.0625,0.20,0.98,858:10159,
info-blue,200,0.0825,0.60,0.36,0.0075,0.30,0.03,0.20,0.98,858:10465,
membership-text,173,0.13,0.62,0.36,0.01,0.3433,0.03,0.20,0.98,858:10771,
blue-spruce-green,166,0.10,0.71,0.265,0.01,0.43,0.04,0.20,0.98,858:11077,
sage-green,158,0.055,0.72,0.26,0.012,0.47,0.022,0.20,0.98,858:11383,
success-green,146,0.1154,0.5803,0.4097,0.015,0.3803,0.005,0.20,0.98,858:11689,
highlight-lichen,120,0.22,0.8825,0.1008,0.05,0.4895,0.06,0.20,0.98,858:11995,
appex-moss,116,0.192,0.785,0.219,0.03,0.46,0.045,0.20,0.98,858:12301,
golden-moss,104,0.1355,0.755,0.23,0.006,0.46,0.03,0.20,0.98,858:12607,
membership-yellow,95,0.2,0.86,0.12,0.0115,0.61,0.05,0.20,0.98,858:12913,
warning-yellow,92,0.155,0.665,0.33,0.012,0.38,0.04,0.20,0.98,858:13219,
natural-grey,89,0.035,0.84,0.14,0.004,0.59,0.01,0.20,0.98,858:13525,
warm-grey,82,0.0185,0.52,0.465,0.0015,0.335,0.005,0.20,0.98,858:13831,
golden-yellow,78,0.175,0.82,0.15,0.0015,0.62,0.04,0.20,0.98,858:14137,
error-red,30,0.185,0.53,0.46,0.015,0.2432,0.08,0.20,0.98,858:14443,
new-sale-red,39,0.19,0.54,0.44,0.015,0.315,0.045,0.20,0.98,858:14749,
