family,step,appearance,token_name,design_hex,design_oklch_l,design_oklch_c,design_oklch_h,design_oklch_alpha,ios_reference_status,ios_p3_r,ios_p3_g,ios_p3_b,ios_p3_alpha,android_reference_status,android_strategy,android_color_space,android_hex,android_r,android_g,android_b,android_alpha,figma_node_or_variable,notes
alpine-lake-blue,010,default,alpine-lake-blue-010,#f2fdff,0.99,0.0819,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10176,
alpine-lake-blue,050,default,alpine-lake-blue-050,#eaf8ff,0.975,0.0851,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10192,
alpine-lake-blue,100,default,alpine-lake-blue-100,#dff2ff,0.955,0.0892,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10208,
alpine-lake-blue,200,default,alpine-lake-blue-200,#d2eaff,0.93,0.0941,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10224,
alpine-lake-blue,300,default,alpine-lake-blue-300,#c3e0ff,0.90,0.0996,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10240,
alpine-lake-blue,400,default,alpine-lake-blue-400,#b3d6ff,0.87,0.1046,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10256,
alpine-lake-blue,500,default,alpine-lake-blue-500,#a3ccff,0.84,0.1091,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10272,
alpine-lake-blue,600,default,alpine-lake-blue-600,#91bfff,0.80,0.1145,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10288,
alpine-lake-blue,700,default,alpine-lake-blue-700,#81b1fb,0.755,0.1196,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10304,
alpine-lake-blue,800,default,alpine-lake-blue-800,#6e9feb,0.7,0.1244,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10320,
alpine-lake-blue,850,default,alpine-lake-blue-850,#6192df,0.66,0.127,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10336,
alpine-lake-blue,900,default,alpine-lake-blue-900,#5889d6,0.63,0.1284,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10352,
alpine-lake-blue,1000,default,alpine-lake-blue-1000,#4c7dc9,0.59,0.1296,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10368,
alpine-lake-blue,1100,default,alpine-lake-blue-1100,#3d6db9,0.54,0.1299,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10384,
alpine-lake-blue,1200,default,alpine-lake-blue-1200,#2b59a0,0.47,0.1252,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10400,
alpine-lake-blue,1300,default,alpine-lake-blue-1300,#1e4683,0.40,0.1131,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10416,
alpine-lake-blue,1400,default,alpine-lake-blue-1400,#112d57,0.30,0.0831,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10432,
alpine-lake-blue,1500,default,alpine-lake-blue-1500,#041532,0.20,0.0625,259,1.0,not-provided,,,,,not-provided,,,,,,,,858:10448,
info-blue,010,default,info-blue-010,#f6fdfe,0.99,0.0075,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10482,
info-blue,050,default,info-blue-050,#f1f8f9,0.975,0.0075,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10498,
info-blue,100,default,info-blue-100,#e9f2f3,0.955,0.0096,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10514,
info-blue,200,default,info-blue-200,#daeced,0.93,0.0195,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10530,
info-blue,300,default,info-blue-300,#c8e5e6,0.90,0.0304,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10546,
info-blue,400,default,info-blue-400,#b6dddf,0.87,0.0403,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10562,
info-blue,500,default,info-blue-500,#a6d5d7,0.84,0.0492,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10578,
info-blue,600,default,info-blue-600,#90cacd,0.80,0.0594,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10594,
info-blue,700,default,info-blue-700,#7abdc1,0.755,0.0686,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10610,
info-blue,800,default,info-blue-800,#60adb1,0.7,0.0767,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10626,
info-blue,850,default,info-blue-850,#4fa1a6,0.66,0.0804,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10642,
info-blue,900,default,info-blue-900,#43989d,0.63,0.0820,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10658,
info-blue,1000,default,info-blue-1000,#348c91,0.59,0.0824,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10674,
info-blue,1100,default,info-blue-1100,#257d81,0.54,0.0804,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10690,
info-blue,1200,default,info-blue-1200,#18676b,0.47,0.0726,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10706,
info-blue,1300,default,info-blue-1300,#165154,0.40,0.0592,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10722,
info-blue,1400,default,info-blue-1400,#1b3234,0.30,0.03,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10738,
info-blue,1500,default,info-blue-1500,#031a1b,0.20,0.03,200,1.0,not-provided,,,,,not-provided,,,,,,,,858:10754,
membership-text,010,default,membership-text-010,#f5fefb,0.99,0.01,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10788,
membership-text,050,default,membership-text-050,#eefaf6,0.975,0.0133,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10804,
membership-text,100,default,membership-text-100,#dff6ee,0.955,0.0261,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10820,
membership-text,200,default,membership-text-200,#cdf1e5,0.93,0.041,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10836,
membership-text,300,default,membership-text-300,#b8ebda,0.90,0.0574,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10852,
membership-text,400,default,membership-text-400,#a3e4d0,0.87,0.0721,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10868,
membership-text,500,default,membership-text-500,#8eddc5,0.84,0.0852,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10884,
membership-text,600,default,membership-text-600,#73d3b8,0.80,0.1,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10900,
membership-text,700,default,membership-text-700,#55c7a9,0.755,0.1131,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10916,
membership-text,800,default,membership-text-800,#2cb797,0.7,0.1241,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10932,
membership-text,850,default,membership-text-850,#00ab8b,0.66,0.1285,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10948,
membership-text,900,default,membership-text-900,#00a282,0.63,0.1299,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10964,
membership-text,1000,default,membership-text-1000,#009576,0.59,0.1292,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10980,
membership-text,1100,default,membership-text-1100,#008568,0.54,0.1246,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:10996,
membership-text,1200,default,membership-text-1200,#006e55,0.47,0.1109,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:11012,
membership-text,1300,default,membership-text-1300,#005743,0.40,0.0889,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:11028,
membership-text,1400,default,membership-text-1400,#13352c,0.30,0.0431,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:11044,
membership-text,1500,default,membership-text-1500,#061a15,0.20,0.03,173,1.0,not-provided,,,,,not-provided,,,,,,,,858:11060,
blue-spruce-green,010,default,blue-spruce-green-010,#f6fefa,0.99,0.01,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11094,
blue-spruce-green,050,default,blue-spruce-green-050,#f1f9f5,0.975,0.01,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11110,
blue-spruce-green,100,default,blue-spruce-green-100,#e3f5ed,0.955,0.0231,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11126,
blue-spruce-green,200,default,blue-spruce-green-200,#d1f0e2,0.93,0.038,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11142,Token name in Figma reads blue-spruce-green-9166 (likely typo for 200)
blue-spruce-green,300,default,blue-spruce-green-300,#bdead6,0.90,0.0537,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11158,
blue-spruce-green,400,default,blue-spruce-green-400,#abe3ca,0.87,0.0672,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11174,
blue-spruce-green,500,default,blue-spruce-green-500,#99dbbf,0.84,0.0783,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11190,
blue-spruce-green,600,default,blue-spruce-green-600,#83d1b1,0.80,0.0896,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11206,
blue-spruce-green,700,default,blue-spruce-green-700,#6ec3a1,0.755,0.0974,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11222,
blue-spruce-green,800,default,blue-spruce-green-800,#5ab290,0.7,0.1,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11238,
blue-spruce-green,850,default,blue-spruce-green-850,#4ea684,0.66,0.0992,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11254,
blue-spruce-green,900,default,blue-spruce-green-900,#459c7b,0.63,0.0979,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11270,
